,DK-114,Schaefer200,AAL,HCP-MMP
DK,0.62,0.28,0.47,0.20
DK-114,na,0.36,0.50,0.28
DK-219,0.95,0.46,0.57,0.38
HCP-MMP,0.56,0.51,0.57,na
BN,0.60,0.44,0.57,0.35
Schaefer200,0.53,na,0.54,0.36
AAL,0.42,0.30,na,0.23
arslan,0.32,0.26,0.36,0.18
baldassano,0.46,0.41,0.50,0.32
Brodmann,0.38,0.29,0.42,0.24
economo,0.37,0.26,0.39,0.22
ica,0.41,0.37,0.47,0.29
nspn500,0.82,0.50,0.61,0.40
power,0.34,0.31,0.42,0.24
shen,0.50,0.44,0.56,0.34
Schaefer300,0.58,0.75,0.58,0.42
Schaefer400,0.61,0.74,0.60,0.47
