,DK-114,Schaefer200,AAL,HCP-MMP
DK,0.03,0.04,0.04,0.03
DK-114,na,0.03,0.04,0.03
DK-219,0.01,0.03,0.03,0.03
HCP-MMP,0.03,0.03,0.03,na
BN,0.03,0.03,0.03,0.03
Schaefer200,0.04,na,0.04,0.03
AAL,0.04,0.04,na,0.03
arslan,0.05,0.04,0.04,0.03
baldassano,0.04,0.03,0.04,0.03
Brodmann,0.04,0.04,0.04,0.03
economo,0.04,0.04,0.04,0.03
ica,0.04,0.03,0.04,0.03
nspn500,0.02,0.03,0.03,0.03
power,0.05,0.04,0.04,0.03
shen,0.04,0.03,0.03,0.03
Schaefer300,0.03,0.02,0.03,0.03
Schaefer400,0.03,0.02,0.03,0.02
